rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
4870,cave,"adj(f),nm,nf",feminine,"cellar, basement",il faut descendre dans la cave,we had to go down into the cellar,kav
4871,bond,nm,masculine,"leap, rebound",la richesse du pays a fait un bond,the wealth of the country rebounded,bɔ͂
4872,enclin,adj,,"enclined, prone",je suis enclin à les laisser pourrir,I’m inclined to let them rot,"ɑ͂klɛ͂, in"
4873,nettoyage,nm,masculine,"cleaning, cleansing",j’ai un job spécial de nettoyage : tout le local à bateaux,I have a special cleaning job: all of the boat docks,netwajaʒ
4874,foudre,nf,feminine,lightning,vous avez été frappé par la foudre,you were struck by lightning,fudʀ
4875,justesse,nf,feminine,"accuracy, precision",la question de la justesse se pose,the question of correctness is relevant here,ʒystɛs
4876,rente,nf,feminine,"annuity, pension",l’accumulation des rentes est funeste pour le monde occidental,the accumulation of income is deadly for the West,ʀɑ͂t
4877,hépatite,nf,feminine,hepatitis,l’hépatite C est très différente du VIH,hepatitis C is very different from HIV,epatit
4878,blindé,adj,masculine,armoured,la majorité de nos véhicules blindés sont des blindés légers,most of our armored vehicles are light tanks,blɛ͂de
4879,clan,nm,masculine,clan,j’ai besoin de savoir à quel clan la personne appartient,I need to know what clan the person belonged to,klɑ͂
4880,accélération,nf,feminine,acceleration,l’accélération de la mondialisation économique,the acceleration of economic globalization,akseleʀasjɔ͂
4881,garage,nm,masculine,garage,allez au garage chercher des voitures,go to the garage to get some cars,gaʀaʒ
4882,résolument,adv,,resolutely,il faut se tourner résolument vers l’avenir,you need to be forward-looking,ʀezɔlymɑ͂
4883,négociateur,nadj,masculine,negotiator,les négociateurs restent pratiquement muets,the negotiators are practically keeping mum,"negɔsjatœʀ, -tʀis"
4884,romantique,nadj(f),,romantic,"les romantiques, justement, désiraient toujours au-delà",exactly: romanticists always wanted more,ʀɔmɑ͂tik
4885,obscurité,nf,feminine,darkness,elle commença dans l’obscurité à monter l’escalier,she started to climb the stairs in the dark,ɔpskyʀite
4886,vulgaire,nadj(f),,"vulgar, common, popular",tu es vulgaire,you’re vulgar,vylgɛʀ
4887,soixante-dix,"det,nmi",,seventy,"quand tu auras soixante-dix ans, tu seras toujours toi","when you’re seventy years old, you’ll still be yourself",swasɑ͂tdis
4888,féroce,adj(f),,"ferocious, fierce",son regard était noir et féroce,his glare was dark and ferocious,feʀɔs
4889,perpétuel,adj,,"perpetual, everlasting, never-ending",elle est une tension perpétuelle,she is highly strung,pɛʀpetɥɛl
4890,militer,v,,to militate,nous avons toujours milité contre l’exploitation,we have always mobilized against exploitation,milite
4891,jungle,nf,feminine,jungle,les rebelles ont opéré depuis la jungle,the rebels were operating from the jungle,"ʒœ͂gl, ʒɔ͂gl"
4892,case,nf,feminine,"box, hut, field",je vous laisse choisir la case qui me convient le mieux,I’ll let you choose the box that will fit me the best,kɑz
4893,craquer,v,,"to creak, squeak, crackle, give in, strike",les livres neufs craquaient entre les doigts,the new books were crisp between his fingers,kʀake
4894,clarifier,v,,to clarify,il faut clarifier ces questions maintenant,these questions must be clarified now,klaʀifje
4895,crête,nf,feminine,"crest, top, ridge",un grand nuage noir emmitoufle la crête des montagnes,a large black cloud hugged the crest of the mountains,kʀɛt
4896,traite,nf,feminine,"trade, draft, stretch, milking",je l’ai lue d’une traite,I read it in one sitting,tʀɛt
4897,démarrage,nm,masculine,"start, moving off",généralement le démarrage d’un livre se passe très bien,"generally, starting a book goes very well",demaʀaʒ
4898,oubli,nm,masculine,"forgetting, leaving behind, missing",mais certaines choses méritent l’oubli,some things deserve to be forgotten,ubli
4899,procès-verbal,nm,masculine,"minutes, statement",cette intervention ne figure pas dans le procès-verbal,this speech isn’t included in the transcript,"pʀɔsɛvɛʀbal, o"
4900,formalité,nf,feminine,formality,"oubliez ces formalités, mon enfant","forget these formalities, my child",fɔʀmalite
4901,insensible,adj(f),,insensitive,vous êtes insensible à la raison,you’re unmoved by reason,ɛ͂sɑ͂sibl
4902,distant,adj,,"far-off, distant, faraway",il me fit un salut distant,he waved at me from afar,"distɑ͂, ɑ͂t"
4903,émetteur,nm,masculine,"transmitter, issuer",on va s’acheter un émetteur et on va se promener dans une van,we’re going to buy a transmitter and drive around in a van,emetœʀ
4904,montage,nm,masculine,"assembly, setting, pitching, putting, editing",tout le montage du film s’est fait en digital,all of the editing of the film was done digitally,mɔ͂taʒ
4905,énergique,adj(f),,energetic,je suis très énergique et passionnée,I’m very energetic and passionate,enɛʀʒik
4906,claquer,v,,"to flap, bang, slam, snap",j’avais envie de claquer violemment la porte derrière lui,I wanted to slam the door violently behind him,klake
4907,simplicité,nf,feminine,"simplicity, straightforwardness",la simplicité de ces adieux le toucha,the simplicity of this farewell touched him,sɛ͂plisite
4908,buter,v,,"to stumble, trip, run into, prop up, score",elle s’est butée à toutes sortes de délais,she stumbled into all kinds of delays,byte
4909,bulle,nf,feminine,bubble,ce gouvernement est dans une bulle qui lui cache la réalité,this government is in a bubble that hides it from reality,byl
4910,défavorable,adj(f),,unfavorable,le climat était trop défavorable,the climate was too unfavorable,defavɔʀabl
4911,promoteur,nm,masculine,"promoter, instigator, developer",les promoteurs croient que les salles seront remplies,the promoters think the shows will be sold out,"pʀɔmotœʀ, -tʀis"
4912,albanais,nadj(pl),masculine,Albanian,des snipers albanais avaient ouvert le feu,the Albanian snipers had opened fire,albanɛ
4913,obsession,nf,feminine,obsession,je suis devenue son obsession,I became his obsession,ɔpsesjɔ͂
4914,exciter,v,,"to arouse, waken, excite, turn on",je suis très excitée d’aller voter,I’m very excited to go and vote,ɛksite
4915,voisinage,nm,masculine,neighborhood,tout le voisinage en parle,the whole neighborhood is talking about it,vwazinaʒ
4916,savoir-faire,nmi,masculine,know-how,mon papa est le roi du savoir-faire!,my daddy knows how to do everything!,savwaʀfɛʀ
4917,sévèrement,adv,,"severely, harshly",mon père m’aurait sévèrement corrigé,my father would have severely disciplined me,sevɛʀmɑ͂
4918,écrasant,adj,,"crushing, overwhelming",ce sont des pertes écrasantes pour n’importe quel pays,those would be crushing losses for any country,"ekʀɑzɑ͂, ɑ͂t"
4919,vendu,nadj,masc / fem,"sold, bribed",122.000 billets ont été vendus,"122,000 tickets were sold",vɑ͂dy
4920,munition,nf,feminine,"ammunition, supplies",j’ai acheté toutes les munitions que je voulais,I bought all the ammunition that I wanted,muniˈtsioːn
4921,capturer,v,,"to capture, catch",il faut capturer ce type à tout prix,this guy must be caught at any price,kaptyʀe
4922,compliment,nm,masculine,compliment,merci pour le compliment,thanks for the compliment,kɔ͂plimɑ͂
4923,allouer,v,,to allocate,cinq minutes sont allouées pour deux questions,five minutes are allocated for two questions,alwe
4924,scandaliser,v,,"to shock, scandalize",chaque Américain devrait aussi être scandalisé,every American should also be scandalized,skɑ͂dalize
4925,cassette,nf,feminine,cassette,la cassette vidéo a été retrouvée,the video cassette was found,kasɛt
4926,résident,nm,masculine,"foreign national, foreign resident",j’ai rencontré presque tous les résidents,I met almost all the residents,"ʀezidɑ͂, ɑ͂t"
4927,empresser,v,,"to bustle about, hasten to do",ils se sont empressés d’obéir,they hastened to obey,ɑ͂pʀese
4928,inonder,v,,to flood,il faut inonder les jeunes de messages préventifs,youth must be flooded with preventive messages,inɔ͂de
4929,réglementer,v,,"to regulate, control",une drogue est plus ou moins réglementée,a drug is more or less controlled,ʀɛgləmɑ͂te
4930,sonder,v,,"to probe, poll, sound out","je viens sonder, pour une sondation","I’m here to take a poll, for a poll",sɔ͂de
4931,vigilant,adj,,"vigilant, watchful",nous devons rester vigilants et critiques,we must remain vigilant and critical,"viʒilɑ͂, ɑ͂t"
4932,rhétorique,nadj(f),feminine,"rhetorical, rhetoric",la rhétorique des moralistes latins refleuris- sait,the rhetoric of the Latin moralists blossomedanew,ʀetɔʀik
4933,cage,nf,feminine,cage,on devrait les mettre en cage et faire payer l’entrée,we should put them in a cage and make them pay the entrance fee,kaʒ
4934,réglé,adj,,"regular, steady, well-ordered, ruled","si tout est réglé, on peut y aller","if everything’s set up, we can go",ʀegle
4935,téléspectateur,nm,masculine,TV viewer,il y avait des millions de téléspectateurs,there were millions of TV viewers,"telespɛktatœʀ, -tʀis"
4936,golf,nm,masculine,"golf, golf course",ils jouent au golf ensemble,they play golf together,gɔlf
4937,forestier,nadj,,"forest, forester",l’industrie forestière est très importante,the forest industry is very important,"fɔʀɛstje, -jɛʀ"
4938,hum,intj,,"um, uh","hum, je suis nerveux, seulement","uh, I’m just nervous",ˊœm
4939,ravager,v,,"to ravage, devastate","la peste ravage Londres, mais Paris est épargnée","the plague ravages London, but Paris is spared",ʀavaʒe
4940,réveil,nm,masculine,"waking up, awakening, alarm clock","sur ma table de nuit, le réveil indiquait cinq heures","on my night table, the alarm clock indicated five o’clock",ʀevɛj
4941,racial,adj,,racial,la préférence raciale joue depuis longtemps dans le recrutement,racial preference has long figured in recruitment,"ʀasjal, jo"
4942,ensuivre,v,,"to follow, result, ensue",il dit qu’il va s’ensuivre une augmentation du tourisme,he says that an increase in tourism is going to follow,ɑ͂sɥivʀ
4943,relevé,nadj,masculine,"statement, list; relieved; put in relief; rolled up","navré, mais vous êtes relevé de vos fonctions","so sorry, but you’re relieved of your functions","ʀəl(ə)ve, ʀ(ə)ləve"
4944,ajourner,v,,"to adjourn, defer, postpone",je suis prête à ajourner le débat,I’m ready to adjourn the debate,aʒuʀne
4945,détérioration,nf,feminine,deterioration,la poste vous dédommagera de la détérioration des colis,the post office will reimburse you for damaged packages,deteʀjɔʀasjɔ͂
4946,viable,adj(f),,"viable, workable",la négociation est le seul moyen viable de résoudre le conflit,negotiation is the only viable means to resolve this conflict,vjabl
4947,cochon,nadj,masculine,pig,on mange comme des cochons,we’re eating like pigs,kɔʃɔ͂
4948,barbare,nadj(f),masc / fem,barbaric; barbarian,je viens de voir les barbares détruire un continent,I have just seen barbarians destroying a continent,baʀbaʀ
4949,atroce,adj(f),,atrocious,tu as couché avec cet atroce barbu?,you had sex with that atrocious bearded loser?,atʀɔs
4950,civique,adj(f),,civil; civics,les droits civiques sont accordés aux 336.000 Arabes israéliens,"civil rights are granted to the 336,000 Israeli Arabs",sivik
4951,ancrer,v,,to anchor,ces valeurs sont fermement ancrées dans notre héritage,these values are firmly anchored in our heritage,ɑ͂kʀe
4952,raccrocher,v,,to hang up,j’ai décidé de raccrocher ma toge,I decided to hang up my toga,ʀakʀɔʃe
4953,cirque,nm,masculine,circus; cirque,nous allâmes en excursion au cirque,we went on an outing to the circus,siʀk
4954,législature,nf,feminine,legislature,cette nouvelle législature a une occasion unique dans l’histoire,this new legislature has a unique occasion in history,leʒislatyʀ
4955,audiovisuel,nadj,masculine,audio-visual,"depuis cette date, le paysage audiovisuel français a changé","since that date, the French audiovisual landscape has changed",odjovisɥɛl
4956,confiner,v,,to confine,le plasma reste confiné à la surface du solide,the plasma remains confined to the surface of the solid,kɔ͂fine
4957,agrandir,v,,"to enlarge, extend",cliquez sur l’image pour agrandir la carte,click on the picture to enlarge the map,agʀɑ͂diʀ
4958,occasionner,v,,"to cause, give rise to",le conflit occasionne des pertes énormes,the conflict is causing enormous losses,ɔkazjɔne
4959,allégement,nm,masculine,"lightening, unweighting, reduction",il a effectué un allégement général des impôts,he implemented overall tax relief,alɛʒmɑ͂
4960,malin,nadj,,"smart, shrewd, cunning","enfin, il faut être malin, très malin","well, you have to be shrewd, very shrewd","malɛ͂, maliɲ"
4961,performant,adj,,"productive, efficient",je veux rester performant et ne pas avoir une fin de carrière,I want to stay productive and not have my career end,"pɛʀfɔʀmɑ͂, ɑ͂t"
4962,sérénité,nf,feminine,"serenity, peacefulness",le temps était d’une sérénité désespérante,time had a desperate clarity,seʀenite
4963,cuire,v,,"to cook, bake, roast",on dit que le spaghetti est cuit s’il reste collé,they say that spaghetti is cooked if it sticks together,kɥiʀ
4964,raser,v,,"to shave, raze",ils avaient tous le crâne rasé,they all had shaved heads,ʀɑze
4965,ha,intj,,oh,ha. ha. très drôle,ha. ha. very funny,ɛktaʀ
4966,revivre,v,,"to live again, come back life, revive",il lui faut un souvenir pour revivre l’événe- ment,he needs a souvenir to relive the event,ʀ(ə)vivʀ
4967,piano,"adv,nm",masculine,piano,elle retournait au piano et recommençait à jouer,she returned to the piano and resumed playing,pjano
4968,concertation,nf,feminine,"meeting, consultation","il faut travailler ensemble plus, en concertation","we must work together more, in consultation",kɔ͂sɛʀtasjɔ͂
4969,vaisseau,nm,masculine,"ship, vessel",faites un diagnostic complet du vaisseau,perform a complete check of the ship,vɛso
4970,interaction,nf,feminine,interaction,on est en interaction avec les membres de l’équipe des émissions,we’re interacting with the members of the broadcast team,ɛ͂tɛʀaksjɔ͂
4971,pessimiste,nadj(f),masc / fem,pessimistic; pessimist,je ne suis pas aussi pessimiste que lui,I’m not as pessimistic as he is,pesimist
4972,sillage,nm,masculine,"wake, slipstream",j’étais dans le sillage de Nicolas Sarkozy,I was in the wake of Nicolas Sarkozy,sijaʒ
4973,synonyme,nadj(f),masculine,synonymous; synonym,la Communauté européenne n’est plus synonyme de l’Europe,the European Union is no longer synonymous with Europe,sinɔnim
4974,hisser,v,,"to hoist, raise up",nous voulons maintenant hisser la barre encore plus haut,now we want to raise the bar even higher,ˊise
4975,agréer,v,,"to accept, approve of","veuillez agréer, monsieur, mes salutations distinguées",sincerely yours,agʀee
4976,comble,nadj(f),masculine,"despair; summit, overmeasure; roof","comble du malheur, COOL-FM a changé d’orientation",depths of unhappiness: COOL-FM has changed its orientation,kɔ͂bl
4977,bosniaque,nadj(f),masc / fem,Bosnian,le gouvernement bosniaque a accepté le plan de paix,the Bosnian government accepted the peace plan,bɔsnjak
4978,insignifiant,adj,,"insignificant, unimportant","nous parlions de choses insignifiantes, avec gaieté",we were merrily talking of insignificant things,"ɛ͂siɲifjɑ͂, jɑ͂t"
4979,décoller,v,,"to take off; to loosen, unstick","s’ils décollent, les otages sont morts","if they take off, the hostages are dead",dekɔle
4980,solidaire,adj(f),,"interdependent, jointly dependent",on cesse de se sentir responsable et solidaire d’autrui,we’re ceasing to feel responsible for others and interdependent with them,sɔlidɛʀ
4981,ferroviaire,adj(f),,"railway, rail",le trafic ferroviaire régional a été interrompu,regional railway traffic has been inter- rupted,fɛʀɔvjɛʀ
4982,dépouiller,v,,"to skin, strip away, deprive, analyze",il faut savoir se dépouiller de très belles choses,you have to know how to rid yourself of very pretty things,depuje
4983,céréale,nf,feminine,cereal,les céréales sont le premier solde excéden- taire de la France,cereals are the leading surplus commodity of France,seʀeal
4984,aménager,v,,"to develop, plan, fit, adjust",l’avion aménagé en hôpital volant était attendu mercredi,the airplane outfitted as a flying hospital was expected Wednesday,amenaʒe
4985,agitation,nf,feminine,"agitation, excitement",il semble indifférent à l’agitation dont il est cause,he seems unaffected by the agitation he has caused,aʒitasjɔ͂
4986,exode,nm,masculine,exodus,je contemple l’énorme exode des campag- nards,I’m pondering the enormous exodus of country-dwellers,ɛgzɔd
4987,aire,nf,feminine,"surface, area",les déchets de l’aire métropolitaine continueront de s’accumuler,the trash from the metropolitain area will continue to accumulate,ɛʀ
4988,orgueil,nm,masculine,pride,"ça flatte ton orgueil de mâle, ça, hein?","that strokes your male ego, eh?",ɔʀgœj
4989,socialisme,nm,masculine,socialism,c’est le grand défi du socialisme du XXIe siècle,it’s the grand challenge for socialism in the 21st century,sɔsjalism
4990,harmonisation,nf,feminine,harmonization,il y aura aussi un régime d’harmonisation des lois environnementales,there will also be a system for harmonizing environmental laws,aʀmɔnizasjɔ͂
4991,provisoirement,adv,,"temporarily, provisionally",je décidai provisoirement de m’en contenter,I decided to be happy with it for the time being,pʀɔvizwaʀmɑ͂
4992,cocktail,nm,masculine,"cocktail, cocktail party",tu es capable de faire des cocktails assez élaborés?,are you able to make fairly fancy cocktails?,kɔktɛl
4993,moyenne,nf,feminine,average,les chercheurs font en moyenne une carrière beaucoup plus courte,researchers on average have a much shorter career,mwajɛn
4994,rigoler,v,,"to laugh,",ça rigole pas au labo!,no laughing in the lab!,ʀigɔle
4995,compression,nf,feminine,"compression; cutback, reduction",toutes les compressions ont eu un prix très élevé,all of the cutbacks have exacted a very heavy price,kɔ͂pʀesjɔ͂
4996,réfléchi,adj,,"thoughtful, well thought out",nous devrions agir de façon réfléchie et responsable,we should act in a thoughtful and responsible manner,ʀefleʃi
4997,expérimenter,v,,to experiment,les skieurs peu expérimentés devraient renoncer aux courses,inexperienced skiers should forego racing,ɛkspeʀimɑ͂te
4998,détériorer,v,,to deteriorate,il a laissé nos routes se détériorer et se désintégrer,he has let our roads deterio- rate and disintegrate,deteʀjɔʀe
4999,exprès,"adj(pl),adv",,"deliberately, on purpose, intentionally",je ne le fais pas exprès ou plutôt ce n’est pas conscient,"I don’t do it on purpose, or rather it’s not conscious","ɛkspʀɛ, -ɛs"
5000,écrouler,v,,"to collapse, tumble","on le trouva mort, écroulé dans les W.C.","they found him dead, collapsed in the restroom",ekʀule
5001,travailler,v,,to work,,,
5002,légèrement,adv,,slightly,,,
5003,constamment,adv,,constantly,,,
5004,fureur,n,feminine,fury,,,
5005,pétrir,v,,to knead,,,
5006,renommée,n,feminine,"fame, reputation",,,
5007,particule,n,feminine,particle,,,
5008,souper,v/n,masculine,"to have supper, supper",,,
5009,calculateur,n,masculine,calculator,,,
5010,clavier,n,masculine,keyboard,,,
5011,stricte,adj,,strict,,,
5012,étincelle,n,feminine,spark,,,
5013,bureaucratie,n,feminine,bureaucracy,,,
5014,baron,n,masculine,baron,,,
5015,bouclier,n,masculine,shield,,,
5016,broyer,v,,to grind/crush,,,
5017,bureaucratique,adj,,bureaucratic,,,
5018,statique,adj,,static,,,
5019,étirer,v,,to stretch,,,
5020,stérilisations,n,feminine-plural,sterilizations,,,
5021,boulanger,n,masculine,baker,,,
5022,rivalité,n,feminine,rivalry,,,
5023,bonbon,n,masculine,candy,,,
5024,boussole,n,feminine,compass,,,
5025,gourmand,adj,masculine,"greedy, gourmet",,,
5026,bougie,n,feminine,candle,,,
5027,climatisation,n,feminine,air conditioning,,,
5028,vitalité,n,feminine,vitality,,,
5029,gouvernante,n,feminine,governess,,,
5030,boulangerie,n,feminine,bakery,,,
5031,coordonnée,n,feminine,coordinate,,,
5032,cliquetis,n,masculine,clicking/ticking sound,,,
5033,bouffée,n,feminine,puff/whiff,,,
5034,bouillir,v,,to boil,,,
5035,steward,n,masculine,steward/flight attendant,,,
5036,rivaliser,v,,to compete/rival,,,
5037,clochard,n,masculine,homeless person,,,
5038,boutonner,v,,to button up,,,
5039,stagiaire,n,masc / fem,intern,,,
5040,clic,n,masculine,click,,,
5041,clignotant,n/adj,masculine,"flashing, turn signal",,,
5042,clinicien,n,masculine,clinician,,,
5043,clins,n,masculine-plural,winks,,,
5044,cliver,v,,to cleave/split,,,
5045,clivage,n,masculine,cleavage/split,,,
5046,cloison,n,feminine,partition/wall,,,
5047,clonage,n,masculine,cloning,,,
5048,clone,n,masculine,clone,,,
5049,cloner,v,,to clone,,,
5050,clos,adj,,closed/shut,,,
5051,clôturer,v,,to close/fence in,,,
5052,clou,n,masculine,nail,,,
5053,coagulation,n,feminine,coagulation,,,
5054,cobaye,n,masculine,guinea pig,,,
5055,bocaux,n,masculine-plural,jars,,,
5056,codification,n,feminine,codification,,,
5057,codifier,v,,to codify,,,
5058,coefficient,n,masculine,coefficient,,,
5059,coéquipier,n,masculine,teammate,,,
5060,coercition,n,feminine,coercion,,,
5061,coexistence,n,feminine,coexistence,,,
5062,coexister,v,,to coexist,,,
5063,coffret,n,masculine,box/case,,,
5064,cognition,n,feminine,cognition,,,
5065,cognitif,adj,,cognitive,,,
5066,cohabitation,n,feminine,cohabitation,,,
5067,cohabiter,v,,to cohabit,,,
5068,cohorte,n,feminine,cohort,,,
5069,coiffe,n,feminine,headgear/cap,,,
5070,coiffer,v,,to style hair/to cap,,,
5071,coiffeur,n,masculine,hairdresser,,,
5072,coiffure,n,feminine,hairstyle,,,
5073,coincé,adj,,stuck,,,
5074,coincement,n,masculine,jamming/wedging,,,
5075,coléreux,adj,,irascible/quick-tempered,,,
5076,colibri,n,masculine,hummingbird,,,
5077,colis,n,masculine,parcel,,,
5078,collaboratrice,n,feminine,collaborator (f),,,
5079,collage,n,masculine,collage/pasting,,,
5080,collant,adj/n,masculine,sticky/tights,,,
5081,collation,n,feminine,snack,,,
5082,colle,n,feminine,glue,,,
5083,collecte,n,feminine,collection/drive,,,
5084,collecter,v,,to collect,,,
5085,collecteur,n,masculine,collector,,,
5086,collectionner,v,,to collect,,,
5087,collectionneur,n,masculine,collector,,,
5088,collectivement,adv,,collectively,,,
5089,collégial,adj,,collegial,,,
5090,collerette,n,feminine,ruff/collar,,,
5091,collet,n,masculine,collar,,,
5092,collier,n,masculine,necklace,,,
5093,collision,n,feminine,collision,,,
5094,colloque,n,masculine,symposium/colloquium,,,
5095,colombe,n,feminine,dove,,,
5096,colonialisme,n,masculine,colonialism,,,
5097,colonisation,n,feminine,colonization,,,
5098,coloniser,v,,to colonize,,,
5099,colonnade,n,feminine,colonnade,,,
5100,colorant,n,masculine,dye/coloring,,,
5101,coloration,n,feminine,coloring,,,
5102,colorer,v,,to color,,,
5103,coloriage,n,masculine,coloring (activity),,,
5104,colorier,v,,to color in,,,
5105,coloris,n,masculine,color/tint,,,
5106,colossal,adj,,colossal,,,
5107,colosse,n,masculine,colossus,,,
5108,combativité,n,feminine,combativeness,,,
5109,combiné,n,masculine,handset/combination,,,
5110,combustion,n,feminine,combustion,,,
5111,comestible,adj,,edible,,,
5112,comète,n,feminine,comet,,,
5113,commanditaire,n,masc / fem,sponsor/backer,,,
5114,commensurable,adj,,commensurable,,,
5115,commentateur,n,masculine,commentator,,,
5116,commercialisation,n,feminine,commercialization,,,
5117,commercialiser,v,,to commercialize,,,
5118,commère,n,feminine,gossip,,,
5119,commis,n,masculine,clerk,,,
5120,commisération,n,feminine,commiseration,,,
5121,commissionnaire,n,masc / fem,messenger/agent,,,
5122,commissionner,v,,to commission,,,
5123,commissure,n,feminine,commissure,,,
5124,commode,adj/n,feminine,convenient/chest of drawers,,,
5125,commodité,n,feminine,convenience,,,
5126,commotion,n,feminine,commotion/concussion,,,
5127,communal,adj,,communal/municipal,,,
5128,communément,adv,,commonly,,,
5129,communier,v,,to take communion,,,
5130,communion,n,feminine,communion,,,
5131,commutateur,n,masculine,switch,,,
5132,commuter,v,,to commute,,,
5133,compacité,n,feminine,compactness,,,
5134,comparatif,adj/n,masculine,comparative,,,
5135,comparativement,adv,,comparatively,,,
5136,compartiment,n,masculine,compartment,,,
5137,compartimenter,v,,to compartmentalize,,,
5138,compas,n,masculine,compass (drawing),,,
5139,compatible,adj,,compatible,,,
5140,compère,n,masculine,accomplice/crony,,,
5141,compilation,n,feminine,compilation,,,
5142,compiler,v,,to compile,,,
5143,complainte,n,feminine,lament,,,
5144,complaire,v,,to please,,,
5145,complaisance,n,feminine,complaisance/compliance,,,
5146,complaisant,adj,,complaisant/obliging,,,
5147,complimenter,v,,to compliment,,,
5148,complois,n,masculine-plural,(archaic) plot/agreement,,,
5149,comploter,v,,to plot/conspire,,,
5150,componction,n,feminine,compunction,,,
5151,composite,adj,,composite,,,
5152,compositeur,n,masculine,composer,,,
5153,compost,n,masculine,compost,,,
5154,composter,v,,to compost/validate ticket,,,
5155,compote,n,feminine,stewed fruit/compote,,,
5156,compresse,n,feminine,compress/bandage,,,
5157,compresser,v,,to compress,,,
5158,compresseur,n,masculine,compressor,,,
5159,comprimé,n/adj,masculine,tablet/compressed,,,
5160,comprimer,v,,to compress/suppress,,,
5161,comptage,n,masculine,counting,,,
5162,compte-gouttes,n,masculine,dropper,,,
5163,compte-rendu,n,masculine,report/minutes,,,
5164,compteur,n,masculine,counter/meter,,,
5165,compulser,v,,to consult/read through,,,
5166,compulsion,n,feminine,compulsion,,,
5167,compulsif,adj,,compulsive,,,
5168,computation,n,feminine,computation,,,
5169,computationnel,adj,,computational,,,
5170,comtesse,n,feminine,countess,,,
5171,concasser,v,,to crush/coarsely grind,,,
5172,concave,adj,,concave,,,
5173,concentré,adj/n,masculine,concentrated/concentrate,,,
5174,concepteur,n,masculine,designer,,,
5175,conceptuel,adj,,conceptual,,,
5176,concerto,n,masculine,concerto,,,
5177,concessionnaire,n,masc / fem,dealer/concessionaire,,,
5178,concevable,adj,,conceivable,,,
5179,conchoïdal,adj,,conchoidal,,,
5180,concierge,n,masc / fem,caretaker/janitor,,,
5181,conciergerie,n,feminine,caretaker's lodge,,,
5182,conciliant,adj,,conciliatory,,,
5183,conciliateur,n,masculine,conciliator,,,
5184,conciliation,n,feminine,conciliation,,,
5185,concis,adj,,concise,,,
5186,conclave,n,masculine,conclave,,,
5187,concomitant,adj,,concomitant,,,
5188,concordance,n,feminine,concordance/agreement,,,
5189,concordant,adj,,concordant,,,
5190,concorde,n,feminine,harmony/concord,,,
5191,concorder,v,,to agree/correspond,,,
5192,concordat,n,masculine,concordat,,,
5193,concourir,v,,to compete/concur,,,
5194,concrétisation,n,feminine,concretization,,,
5195,concrétion,n,feminine,concretion,,,
5196,concubinage,n,masculine,cohabitation,,,
5197,concupiscence,n,feminine,concupiscence,,,
5198,concussion,n,feminine,concussion/graft,,,
5199,condamnable,adj,,reprehensible,,,
5200,condensation,n,feminine,condensation,,,
5201,condenser,v,,to condense,,,
5202,condenseur,n,masculine,condenser,,,
5203,condescendance,n,feminine,condescension,,,
5204,condescendant,adj,,condescending,,,
5205,condescendre,v,,to condescend,,,
5206,condiment,n,masculine,condiment,,,
5207,conditionnement,n,masculine,conditioning/packaging,,,
5208,conditionner,v,,to condition/package,,,
5209,condoléances,n,feminine-plural,condolences,,,
5210,condor,n,masculine,condor,,,
5211,conductibilité,n,feminine,conductibility,,,
5212,conduction,n,feminine,conduction,,,
5213,conductivité,n,feminine,conductivity,,,
5214,cône,n,masculine,cone,,,
5215,confection,n,feminine,manufacture/ready-made clothes,,,
5216,confectionner,v,,to make/manufacture,,,
5217,confédéral,adj,,confederal,,,
5218,confédérer,v,,to confederate,,,
5219,conférencier,n,masculine,speaker/lecturer,,,
5220,confesser,v,,to confess,,,
5221,confessional,adj,masculine,confessional,,,
5222,confetti,n,masculine,confetti,,,
5223,confidence,n,feminine,secret/confidence,,,
5224,confident,n,masculine,confidant,,,
5225,confidentiellement,adv,,confidentially,,,
5226,configurer,v,,to configure,,,
5227,confinements,n,masculine-plural,lockdowns,,,
5228,confiler,v,,to (archaic) bind/connect,,,
5229,confinier,n,,(archaic) neighbor,,,
5230,confins,n,masculine-plural,confines/borders,,,
5231,confiscation,n,feminine,confiscation,,,
5232,confisquer,v,,to confiscate,,,
5233,confit,adj/n,masculine,preserved/confit,,,
5234,confiture,n,feminine,jam,,,
5235,confluent,n,masculine,confluence,,,
5236,confondu,adj,,confounded/mixed up,,,
5237,conformation,n,feminine,conformation,,,
5238,conformisme,n,masculine,conformism,,,
5239,confortablement,adv,,comfortably,,,
5240,conforter,v,,to strengthen/comfort,,,
5241,confrérie,n,feminine,brotherhood,,,
5242,congélateur,n,masculine,freezer,,,
5243,congélation,n,feminine,freezing,,,
5244,congeler,v,,to freeze,,,
5245,congénital,adj,,congenital,,,
5246,congestion,n,feminine,congestion,,,
5247,congestionner,v,,to congest,,,
5248,conglomérat,n,masculine,conglomerate,,,
5249,congratuler,v,,to congratulate,,,
5250,congressiste,n,masc / fem,congress member,,,
5251,congru,adj,,congruous,,,
5252,congruence,n,feminine,congruence,,,
5253,conifère,n,masculine,conifer,,,
5254,conique,adj,,conical,,,
5255,conjecture,n,feminine,conjecture,,,
5256,conjonctivite,n,feminine,conjunctivitis,,,
5257,conjonction,n,feminine,conjunction,,,
5258,conjugaison,n,feminine,conjugation,,,
5259,conjuguer,v,,to conjugate,,,
5260,conjuration,n,feminine,conspiracy/adjuration,,,
